text,sentiment
big brother,neutral
good news final finish bachelor degre,neutral
well good morn wonder day neighborhood thank follow anoth morn,positive
yesterday im watch movi that realli motiv,positive
hope ok,positive
cant school done alreadi hurt much see everi day,positive
wait listen wind blow tumblewe none old enough know someon say crackerack,neutral
hell yeah,neutral
shirt dinner need ask actual vill,neutral
know,neutral
smelli noooo love alex vixon,neutral
went parti last night great mind think alik anyway happi birthday,positive
happi birthday woke side earth wish bit late,positive
thank teach valu better person day love much your best mum world,positive
happi mother day,positive
laugh im glad self confid wonder trait ill applaud extra loud okay,positive
thank,positive
twitter day,neutral
get readi week nice today stuck insid work,positive
tre depress,negative
felt like behav like son ate compens pig homeroast sugar almond pain tum threw still feel sick,negative
happi mother day peopl love mom lot still,positive
im sorri hear,negative
that awesom dude yay surpris celebr got meet year ago soooo friendli,positive
make happi hear girl talk tweet nba could give nugget love,positive
get hang twitter,neutral
know neck jack forc pay park bc cant turn head parallel park free space,negative
want back,neutral
go miss roomi longer roomi start tomorrow,negative
bath two littl angel keyla janic,neutral
yep finish chock full spell grammat error im clean tomorrow pop hehe,negative
hahahha lol true alway rememb bd never rememb date even day,neutral
famili herehang,neutral
watch ellen love dish tan gorgeou,positive
what goin hun im worri,negative
im bannish work till,negative
morn get see ill let know right im go go see wolverin,neutral
ye sober hahaha tanghal tapat dude haha wild dont knowwww plan plan go u,positive
never miss icarli son huge crush miranda,positive
saw jame carvil store today head realli bald,neutral
love blue program,neutral
error red life look like blue film,negative
download song tri sneak lil homework main prioriti song lol,neutral
error red life blue love rose lip babi,positive
sound good,neutral
fail inspect know pa wooven woantitip bracket sold woven wors tax,negative
jona brother live parti rock hard love song,positive
happi mother day mother world,positive
ive got fever chcek good song im listen song everytim,positive
fun night listen next episod turkey drama,positive
except short dude larenz fineass tate yum,neutral
screw review thought wolverin awesom enough domin monaghan like,positive
follow u recent pleas dont offend havent follow back hit limit hope free soon,positive
ye work,neutral
hmmm mayb that meant elud someth brand new know medium,neutral
alway want go oz,neutral
thx,neutral
love youtub tutori,positive
that need thereto repres blackberri,positive
dont know whether help googl know,neutral
wolverin bo serious william,negative
powerblog powerblog challeng keep talk im newbi follow,neutral
almost die laptop screen set bright reinstal window vista got headach insanedefault,positive
tri decid movi friend go well lol p bibl studi nite mean day cake buy,negative
sigh know,neutral
discov caus bug new build publish bug fix hope new beta tomorrow,positive
free notebook know machin learn well,neutral
got home work chug big bottl appl juic,neutral
big brotherand im done,neutral
good news final finish workout paus hour bad news resist band torn,neutral
ftsk merci merced amaz tonight alway,positive
huh smelli noooo love alex vixon,neutral
went parti last night dindin show match outfit great mind think alik anyway happi birthday ate lara,positive
happi bday woke side earth wish bit late,positive
laugh im glad self confid wonder trait ill applaud extra loud okay,positive
red top tabloid build em knock em,neutral
tonight parti w girl minu vita,positive
made sad thought youd jump joy,neutral
simpl,neutral
pic upload babi pic cat missi adult pretti littl kitti batti kitten heaven,neutral
saw play amaz,positive
glad break twitter virgin two,positive
dinner fam miss,negative
live that want better bound bad egg though soon learn,neutral
hell yeah kellynn got twitter final,neutral
know worth shot though,positive
open facebook account im littl confus dont realli get twitter seem much better,positive
ship im stuck,negative
dustbin babi wait x,positive
go dwell happen pass shame support life x,negative
what day go,neutral
look like offic tv get mlb network,neutral
home empti hand comic found today shall indulg cupcak magnolia bakeri,neutral
lay bed til workkk oh life definit pinch nerv,negative
today busi day exhaust,negative
go go sunday ive got much go weekend,neutral
sorri hear ur flight got cancel blow,negative
ohh tooth hurt ohh im sad hurt,negative
get distract id like thank new follow take troubl follow other feelin love,positive
u think u bill haii finish pay mine that im broke,negative
sure didnt say big jst saw pic u ur last bday look pretti miss,neutral
sore throat plan tet outing marwel thoughgood time,neutral
mcfli gig last nightt omg amazin didnt sit whole thing mcfli see best mate tutu,positive
day without sleep migrain thought life postr meant relax,negative
,neutral
suck,negative
when sway sway winner announc,neutral
k check,neutral
pretti well wide awak,positive
want wake earli get coffe tomorrow today go busyy day keep write booo whoo,neutral
miss daddi mommi,negative
dog offici depress brother dog gone doesnt want go outsid play halfheartedli,negative
realiz cant forward text msg iphon,neutral
frist post find new car parent excit,positive
argh noo miss killer wossi suck miss brandon total failur anyon know repeat must investig,negative
serious bore without anyon talk tire enough sleep,negative
lost pleas help find good home,negative
peter gordon morn go piec wan na hide go piec almost die ever httpblipfmyk,neutral
ok ive got bit bad back lift drum hardwar car downer,negative
lmao smh one threw,neutral
oh nice go,positive
get readi work work weekend,neutral
gon na celebr mother day famili gon na start parti tonit,positive
agre,positive
comput hopeless everyth els,negative
degre gross sky thunderstormsperfect match mood lol,positive
nd aww thank,positive
sorri rb p,negative
saw amaz heeel big,neutral
stuck finger throat bunch bump tongu throat,negative
dang last url went httpblipfmaigm,negative
ohoh miss ur tweet im gon na stay awak night see announc time differ,negative
damnit suck one one thought id drag back lol,negative
bo she move nyc,neutral
sooo crazi fever,negative
spend saturday morn take note research essay stupid recal book im use fair,negative
think need new friend,neutral
look forward gig ireland see ya,neutral
watch movi name adimuri,positive
aww loooov,positive
hungri twitter want food,neutral
awesom lucki,positive
yea know tell everyth p send direct messag tell haha,neutral
haha im jewish love one,positive
great time beer garden wit boyo think sun got bit though feel bit ill,neutral
lm day matt fun weekend,negative
u realli dont think mayb ur rightlol btw phone u use think u told bi might app u,neutral
feel pain mine way,negative
come home two day,neutral
sadli didnt come one,negative
cant wait see boy tomorrow,positive
ehhh check dentist app next week though get molar pulledroot canal,neutral
aww miss drive elmwood,negative
omg wango tango awsom love babi take,positive
version live interact transsiberian ticket planner launch,positive
realli wish could go,positive
yeah real hard know youll get smile,neutral
im decemb that good next big birthday fli sure,negative
made night way funni,positive
woo cav happi mother day,positive
make face get home mom watch soap,neutral
go work,neutral
cant believ went got boba without,neutral
today,neutral
thank warm welcom didnt make plan arriv time air,positive
day count,neutral
sorri friend im swamp deadlin right famili visit boot charad,negative
brainfreez,neutral
discov shortcom graviti use twitpic integr doesnt subtract pic url charact limit,neutral
sunburn peel,negative
perki purpl nail polish isnt perki chip,neutral
httptwitpiccomsx put camera smoker pit longer vandal door without caught,neutral
lay alon sinc mook soo comfi fn play pen thought ill first dont one cuddl,negative
hate dentist,negative
noth aim join insorri,negative
im take twitter break cell die,negative
qood morninq,neutral
write english origin write storyyyyi listen littl respect erasur aaaaaah,neutral
need follow,neutral
wish could get nail done stupid job,negative
littl wormi labyrinth sadli pass away today ok still around happi ghost form aww httptwitpiccomaim,neutral
pant idea could new attempt worldwid attract busi back airlin,neutral
good one,positive
yep infact popular miss india talent film actress lot,positive
dosent want go work tomorrow,negative
daniel dsd voic great,positive
need blood neg,neutral
hope go red lobster weekend,neutral
xatl u mean jack barakat wow u ever gone hous hehe mean ur ssoo lucki address,positive
sure hope becom afternoon,positive
mean famou congrat,positive
phone pass away yesterday jump tabl search new phone,negative
fantast friend includ sever one met thank life amaz peopl,positive
tamlyn wish cool sock draw,positive
rice crusti bread chili aawww,neutral
like mind even dear,neutral
come save pack pleas,neutral
ye love tea make typic english,positive
mouth sure,positive
decd final hour histori pm went highschool make homework friend,neutral
pancak lemon sugar thank,positive
si bueno guess dont entertain,negative
im hunrgi right heel kill hardli walk,negative
electron key stop work keyhol cant get car much technolog,negative
yay three follow good know one person big wide world like fishi,positive
name toni hey poor toni,negative
goodmorn,positive
took shift tomorrow dont realli feel like work right,negative
love mine happi mother day mom john taylor much love,positive
saw black snake garden went back pictur gone,neutral
httptwitpiccomwukt bought ludi rug dog best,positive
waterfront anymor faccia luna clarendon,negative
love mum much happi mother day wonder mother,positive
slip caught flu feel like poop,negative
urg play wow wait week til im dad day til mcfli im excit l,positive
ok passeng one aliv theyr dead dont know til end cri,negative
discov share g reader didnt even know sigh im g reader newb,neutral
chill tonit spew venom write funni seem like style,neutral
u pleas pray lord know need,neutral
aaaaaw want live usa,neutral
morn tweepl,positive
hey didnt get,neutral
hour sleep rest need,positive
make day much better rough one mention love new photo,neutral
dont want sit home prom night someon hang,negative
head home foot surgeri wish boyfriend come cuddl,positive
concert tonight chackin come tomorrow,neutral
happen thought come back today,neutral
lol dammit well next time,negative
lol dont ever forget,positive
still jealou,negative
forev ethan couldnt,negative
im sad im give firsti didnt noth,negative
week mine easi final,negative
wow beauti pictur wayi straightjust want let know bella,positive
arch draw check mvcc cad degre look good,positive
peopl pencil sharp sharpen pencil philosophi,neutral
go home im usual mr posit one daze well min tomorrow,neutral
alway lee let go pari,neutral
know want come keep compani whilst mum friend night nice even,positive
cook dad lot fun kitchen togeth,positive
bounc rush make feel nauseou,negative
woolseri morn hope see north molton u clinch north devon leagu titl love day,positive
play singstar without fave duetter,negative
your miss bb im cereal nut think like everi kind avail,positive
that weird oh draw,negative
woke mum sing new gnr cd replac bought im good daughter,positive
bird oh man that cool didnt sleep yet night,negative
mile go that ok u radio alwa help,positive
street fighter iv skill lack cant beat seth easi,negative
fil cool peopl like,positive
good morn work espn sunday night basebal hope wont get rain,positive
think honeymoon good life either honey moon joseph arthur,neutral
son got stung bug first time littl finger slightli swollen,negative
hour ago came realis went buy someth onlin,neutral
oh refer lil exchang lj regard twitter archiv post,neutral
bump dj opu drunk car lmao dont act like u dont know,negative
kiss foot peopl kick anyth want morn everyon hope best day ever,positive
brief preview omg jame creepi role im scare,negative
im miss crab leg attend go away instead,negative
hick mean,negative
gettn readi take trip jersey dad good need new heartwhoeva see pleas say prayer dad,negative
back soon need run shop cut grass,neutral
im plan transform bedroom today random,neutral
home tomorrow run spin time chiropractor laundri shop visit famili miss nathan,negative
that anoth sponsor,neutral
u go stuck offic without window,negative
sad make proud,negative
sorri well tri keep,negative
home alon hw,neutral
accord quarter famili six live poverti,negative
plan spend money go well,negative
upload bamboozl pictur facebook,neutral
congratul guy finish month earli booo,positive
actual wish back taho miss,negative
